company_name,siret,vat_number,address_line_1,address_line_2,postal_code,city,country,naf_code
EIFFAGE CONSTRUCTION BOURGOGNE FRANCHE COMTE AMEL,01545141200090,FR82015451412,4 RUE LAVOISIER,CS 80031 - 21604 LONGVIC CEDEX,21600,LONGVIC,France,41.20B
LE CINTRA - L'ADAGIO,01555034600017,FR64015550346,13 AVENUE MARECHAL FOCH,,21000,DIJON,France,56.10A
LA TRATTORIA,01555034600025,FR64015550346,CENTRE COMMERCIAL LA CROISETTE,STATION LES MENUIRES,73440,LES BELLEVILLE,France,56.10A
FAMILLE CHERON / HERITIERS MISSET CHERON,01555065000046,FR06015550650,2459 ROUTE DE VAISON,,84190,VACQUEYRAS,France,46.34Z
TERROIRS DE FAMILLE,01555065000061,FR06015550650,2459 ROUTE DE VAISON,,84190,VACQUEYRAS,France,46.34Z
CHENOVE,01555088200110,FR23015550882,9 RUE ANTOINE BECQUEREL,,21300,CHENOVE,France,45.31Z
AUTO DISTRIBUTION JULLIEN,01555088200227,FR23015550882,ZAC DES PLATIERES,,71000,SANCE,France,45.31Z
AUTODISTRIBUTION COLARD,01555088200284,FR23015550882,22 AVENUE D'ALTKIRCH,,90000,BELFORT,France,45.31Z
AUTODISTRIBUTION COLARD,01555088200318,FR23015550882,13 RUE DU DOCTEUR GRENIER,,25300,PONTARLIER,France,45.31Z
AUTODISTRIBUTION COLARD,01555088200326,FR23015550882,14 BOULEVARD JOHN F. KENNEDY,,25000,BESANCON,France,45.31Z
AD COLARD,01555088200508,FR23015550882,24 AVENUE JEAN JAURES,,25400,AUDINCOURT,France,45.31Z
"HERBEMONT, AD, OREXAD.",01555088200631,FR23015550882,RUE ST EXUPERY,,55100,VERDUN,France,45.31Z
HERBEMONT,01555088200714,FR23015550882,17 RUE PAULIN RICHIER,,08000,CHARLEVILLE-MEZIERES,France,45.31Z
AUTODISTRIBUTION JULLIEN,01555088200789,FR23015550882,GRANDES EPENOTTES,,39100,DOLE,France,45.31Z
ASM,01555088200839,FR23015550882,20 RUE NICOLAS APPERT,,51430,TINQUEUX,France,45.31Z
AUTODISTRIBUTION JULLIEN,01555088200854,FR23015550882,9 RUE PAUL SABATIER,,71100,CHALON-SUR-SAONE,France,45.31Z
HERBEMONT,01555088200862,FR23015550882,2 ROUTE DE REIMS,LIEUDIT LES GRANDS PRES,55000,FAINS-VEEL,France,45.31Z
GADEST,01555088200888,FR23015550882,CHE DE VOITRELLE,,51470,SAINT-MEMMIE,France,45.31Z
HERBEMONT,01555088200896,FR23015550882,AV DU BOIS LEGRAS,,51300,VITRY LE FRANCOIS,France,45.31Z
AUTODISTRIBUTION JULLIEN,01555088200904,FR23015550882,21 BOULEVARD THIERS,,52000,CHAUMONT,France,45.31Z
HERBEMONT,01555088200912,FR23015550882,77 AVENUE ALFRED ANATOLE THEVENET,,51530,MAGENTA,France,45.31Z
AUTODISTRIBUTION HERBEMONT,01555088200920,FR23015550882,67 AVENUE DU GENERAL SARRAIL,,52100,SAINT-DIZIER,France,45.31Z
AUTODISTRIBUTION JULLIEN - AUTO PIECES,01555088200938,FR23015550882,16 BD DES ABATTOIRS,,71210,TORCY,France,45.31Z
AUTODISTRIBUTION HERBEMONT - AUTO PIECES SERVICES,01555088200946,FR23015550882,AVENUE DU CHENE SAINT AMAND,ZAC DU CH,52100,SAINT-DIZIER,France,45.31Z
ENT. DE MENUISERIE A. MUGNIER,01555140100035,FR28015551401,25 RUE DE L’INGENIEUR BERTIN,,21600,LONGVIC,France,43.32A
FREDERIC MUGNIER,01555145000065,FR78015551450,PASSAGE MONTGOLFIER,,21700,NUITS-SAINT-GEORGES,France,66.30Z
GROUPE CHOPARD,01555166600058,FR47015551666,11 RUE PAUL LANGEVIN,,21300,CHENOVE,France,45.40Z
LEJAY LAGOUTE - APERCADI,01565003900041,FR92015650039,5 RUE ETIENNE DOLET,,21000,DIJON,France,11.01Z
EDMOND BRIOTTET -JULES THEURIET - COMPTOIR DIJONNAIS DU CASSIS,01565028600014,FR57015650286,12 RUE BERLIER,,21000,DIJON,France,11.01Z
L'ALCOVE,01565092200048,FR25015650922,270 RUE DE LA PIECE CORNUE,,21160,MARSANNAY-LA-COTE,France,47.59A
DEMENAGEMENTS D. FRANTZ,01565100300046,FR74015651003,RUE AU BOUCHET,,21000,DIJON,France,66.30Z
LA CLE DE SOL - LE SHOP DU SON,01565120100038,FR86015651201,2 BOULEVARD DU CHAMP AUX METIERS,,21800,QUETIGNY,France,47.59B
HOTEL DARCY DIJON CENTRE,01565125000019,FR39015651250,2 RUE DE LA LIBERTE,,21000,DIJON,France,56.10A
COOP HABITAT BOURGOGNE,01575074800046,FR64015750748,69 AVENUE BOUCICAUT,,71100,CHALON-SUR-SAONE,France,41.10A
LA TABLE DE PIERRE BOUREE,01575096100037,FR24015750961,40 ROUTE DE BEAUNE,,21220,GEVREY-CHAMBERTIN,France,47.25Z
NEOTYPO,01575111800033,FR10015751118,1 RUE LAVOISIER,,25000,BESANCON,France,18.12Z
FABRICE GILLOTTE,01575114200017,FR82015751142,21 RUE DU BOURG,,21000,DIJON,France,10.82Z
FABRICE GILLOTTE,01575114200033,FR82015751142,ZA DE BEAUREGARD LES ROSIERES,,21490,NORGES-LA-VILLE,France,10.82Z
FABRICE GILLOTTE CREATEUR CHOCOLATIER,01575114200041,FR82015751142,33 RUE CARNOT,,21200,BEAUNE,France,10.82Z
FABRICE GILLOTTE,01575114200058,FR82015751142,34 RUE DES GRANGES,,25000,BESANCON,France,10.82Z
BEURRE NOISETTE,01575114200066,FR82015751142,50 RUE DU BOURG,,21000,DIJON,France,10.71D
MULOT ET PETITJEAN,01575153000054,FR82015751530,6 BOULEVARD DE L'OUEST,,21000,DIJON,France,10.72Z
GODARD,01575266000066,FR77015752660,24 RUE ANTOINE BECQUEREL,,21300,CHENOVE,France,38.31Z
GRAND HOTEL DE LA CLOCHE,01575304900012,FR80015753049,2 AVENUE DE LA 1ERE ARMEE FRANCAISE,,21000,DIJON,France,55.10Z
SAEGB,01575398100016,FR63015753981,14 RUE DE CLUJ,,21000,DIJON,France,11.01Z
MEPHISTO,01575462500034,FR55015754625,7 RUE FRANCOIS RUDE,,21000,DIJON,France,47.72A
SIPA,01585028200029,FR03015850282,15 RUE DU MOULIN,,21120,MARCILLY-SUR-TILLE,France,35.11Z
AGIR TECHNOLOGIES - AGIR TECH - RIVOM - MOUTON - GMA,01585094400016,FR49015850944,RUE DE LA JUSTICE,,21220,GEVREY-CHAMBERTIN,France,25.73B
JOLICAPRICE,01585158700061,FR38015851587,CENTRE COMMERCIAL LA TOISON D'OR,144 ALL DES DUCS DE BOURG.,21000,DIJON,France,47.72B
JOLICAPRICE,01585158700079,FR38015851587,36 RUE DES FORGES,,21000,DIJON,France,47.72B
G. DORAS SERVICES,01585179300032,FR74015851793,7 RUE GAY LUSSAC,,21300,CHENOVE,France,82.99Z
DORAS,01585179300040,FR74015851793,19 RUE FRANCOIS MITTERRAND,,21120,IS-SUR-TILLE,France,46.73A
DORAS,01585179300057,FR74015851793,15 RUE ANTOINE BECQUEREL,PLATEFORME DE CHENOVE,21300,CHENOVE,France,46.73A
DORAS,01585179300065,FR74015851793,ZI ROUTE DE DIJON,,21500,FAIN-LES-MONTBARD,France,46.73A
DORAS,01585179300081,FR74015851793,20 RUE DE MAYENCE,,21000,DIJON,France,46.73A
DORAS,01585179300131,FR74015851793,3 RUE CHARLES ANDRE REMI ARNOULT,,21700,NUITS-SAINT-GEORGES,France,46.73A
DORAS,01585179300149,FR74015851793,Z I L'ECHELOTTE,,21170,SAINT-USAGE,France,46.73A
DORAS,01585179300164,FR74015851793,539 RUE DES ESSARDS,,71000,MACON,France,46.73A
DORAS,01585179300172,FR74015851793,11 RUE DES GRIOTTONS,,71250,CLUNY,France,46.73A
DORAS,01585179300180,FR74015851793,6 LA TERRE DES MOTTES,,71130,GUEUGNON,France,46.73A
DORAS,01585179300206,FR74015851793,78 AVENUE GEORGES CLEMENCEAU,,25000,BESANCON,France,46.73A
DORAS,01585179300248,FR74015851793,ZI LES MOUILLIERES,,52600,CHALINDREY,France,46.73A
DORAS,01585179300255,FR74015851793,18 RUE LOUIS PERGAUD,,25300,PONTARLIER,France,46.73A
DORAS,01585179300271,FR74015851793,16 ROUTE DE VILLENEUVE,ZONE INDUSTRIELLE DE L'ETHOLE,39600,ARBOIS,France,46.73A
DORAS,01585179300289,FR74015851793,52 ROUTE DE SAINT-LOUP,,70000,VESOUL,France,46.73A
DORAS,01585179300305,FR74015851793,RUE DE LA COMBE TETE AU LOUP,,21400,SAINTE-COLOMBE-SUR-SEINE,France,46.73A
DORAS,01585179300313,FR74015851793,9 RUE DU CHAMP DU MOULIN,DORAS ZAC DE LA PRUSSE,25200,BETHONCOURT,France,46.73A
DORAS,01585179300339,FR74015851793,RTE DE MENETREOL,,18300,SAINT-SATUR,France,46.73A
DORAS,01585179300347,FR74015851793,47 RUE DES ABATTOIRS,,71200,LE CREUSOT,France,46.73A
DORAS,01585179300370,FR74015851793,PORT FLUVIAL SUD,,71380,SAINT-MARCEL,France,46.73A
DORAS,01585179300396,FR74015851793,4 RUE SAINTE ELISABETH,,71300,MONTCEAU-LES-MINES,France,46.73A
DORAS,01585179300404,FR74015851793,ROUTE DE MOULINS,LES SABLES,58300,DECIZE,France,46.73A
DORAS,01585179300412,FR74015851793,ROUTE DE CHATILLON,,58290,MOULINS-ENGILBERT,France,46.73A
DORAS,01585179300420,FR74015851793,AVENUE DU 8 MAI 1945,,58800,CORBIGNY,France,46.73A
DORAS,01585179300438,FR74015851793,LA SABLIERE,,58000,SAINT ELOI,France,46.73A
DORAS,01585179300453,FR74015851793,2 ALLEE DES ENTREPRENEURS,,58200,COSNE-COURS-SUR-LOIRE,France,46.73A
DORAS LOCOUTI,01585179300461,FR74015851793,6 RUE ANTOINE BECQUEREL,BATIMENT LOCOUTI,21300,CHENOVE,France,77.32Z
CAREO,01585179300511,FR74015851793,7 RUE GAY LUSSAC,,21300,CHENOVE,France,46.73A
DORAS,01585179300529,FR74015851793,RUE VERNIER ET COLLOT,ZAE SABINUS,52200,LANGRES,France,46.73A
DORAS,01585179300545,FR74015851793,476 RUE ANDRE MARIE AMPERE,ZAC PORTE DE BEAUNE,21200,BEAUNE,France,46.73A
CAREO,01585179300552,FR74015851793,41 RUE DES PAQUERETTES,ZA GUILLAUME HORY,70300,LUXEUIL-LES-BAINS,France,46.73A
CAREO,01585179300560,FR74015851793,6 QUAI DE LA JONCTION,,58000,NEVERS,France,46.73A
DORAS,01585179300628,FR74015851793,25 FAUBOURG D'EPINAL,ZA DE BECHAMP,88200,REMIREMONT,France,46.73A
DORAS,01585179300685,FR74015851793,9 RTE DE BESANCON,,25290,ORNANS,France,46.73A
DORAS,01585179300743,FR74015851793,PRE LION,ZA ACTIPARC,01190,BOZ,France,46.73A
DORAS,01585179300826,FR74015851793,ZA CHARRIERE,,70190,RIOZ,France,46.73A
DORAS,01585179300834,FR74015851793,56 RUE DE LA BRETONNIERE,,71350,CIEL,France,46.73A
DORAS,01585179300875,FR74015851793,RUE BENJAMIN FRANKLIN,POLE TRANSPORT NORD EST ZA CHARRIERE,70190,RIOZ,France,52.29B
DORAS BRETHENAY,01585179300883,FR74015851793,19 ROUTE DEPARTEMENTALE 200,,52000,BRETHENAY,France,46.73A
DORAS MENEO,01585179300917,FR74015851793,28 AVENUE DE MARBOZ,,01000,BOURG-EN-BRESSE,France,46.73A
DORAS,01585179300925,FR74015851793,2 ZA LA TUILERIE,PORTE B,71640,DRACY-LE-FORT,France,46.73A
DORAS,01585179300933,FR74015851793,2 ZA LA TUILERIE,PORTE A,71640,DRACY-LE-FORT,France,46.73A
CLAUDE MATERIAUX,01585179300958,FR74015851793,22 RTE DEPARTEMENTALE 606,ZONE ARTISANALE,89270,ARCY-SUR-CURE,France,46.73A
MARTIN CARRELAGE,01585179300974,FR74015851793,RUE DE L’ECLUSE,,10800,SAINT-THIBAULT,France,46.73A
MPPI,01585179300982,FR74015851793,15 RUE ANTOINE BECQUEREL,,21300,CHENOVE,France,46.73A
CAREO,01585179300990,FR74015851793,5 RUE DE LA GUERLANDE,,71880,CHATENOY-LE-ROYAL,France,46.73A
MENEO,01585179301006,FR74015851793,19 ROUTE DEPARTEMENTALE 200,PORTE B,52000,BRETHENAY,France,46.73A
DORAS,01585179301030,FR74015851793,21 RUE MALGRAS,,52100,SAINT-DIZIER,France,46.73A
DORAS,01585179301048,FR74015851793,9 RUE DES LIBELLULES,,25110,BAUME-LES-DAMES,France,46.73A
MPPI,01585179301105,FR74015851793,42 RUE PASTEUR,,10430,ROSIERES-PRES-TROYES,France,46.73A
MPPI,01585179301113,FR74015851793,2 RUE DE LA FOUGERE,,88150,CHAVELOT,France,46.73A
RIDEL SA,01587102300030,FR49015871023,38 RUE DE FLANDRE,ZAC DU PAYS DE BRAY,76270,NEUFCHATEL-EN-BRAY,France,28.99B
BOURGOGNE HABITAT - LE TOIT BOURGUIGNON,01595001700069,FR60015950017,45 AVENUE DU DRAPEAU,,21000,DIJON,France,41.20B
SAS ZAEGEL OENOLOGIE,01595064500059,FR04015950645,6 RUE CHARDONNAY,ZAC DU PRE FLEURY,21190,CHASSAGNE-MONTRACHET,France,46.69C
LA TOUR D'AUXOIS,01605002300049,FR57016050023,SQ ALEXANDRE DUMAINE,,21210,SAULIEU,France,55.10Z
SONOFEP JARDINERIE,01605044500010,FR62016050445,14 RUE BASSE,,21910,SAULON-LA-RUE,France,47.76Z
SOCIETE EST METROPOLES,01615041900089,FR60016150419,8 RUE MARCEL DASSAULT,,21000,DIJON,France,41.10B
LE BOIS HULIN,01617092000025,FR65016170920,AGNIERES,,80290,HESCAMPS,France,02.10Z
DIRECTION REGION EXPLOITATION BOURGOGNE,01625002900275,FR33016250029,ROUTE DE VERDUN,,21200,BEAUNE,France,52.21Z
DIR REG ALSACE FR.COMTE DIST. BESANCON,01625002900572,FR33016250029,RUE DE L'IF,,25480,ECOLE-VALENTIN,France,52.21Z
DISTRICT DE DOLE,01625002900622,FR33016250029,CHEMIN BLANC,,39100,AUTHUME,France,52.21Z
DISTRICT DE VILLEFRANCHE-LIMAS,01625002900655,FR33016250029,21 AVENUE EDOUARD HERRIOT,,69400,VILLEFRANCHE-SUR-SAONE,France,52.21Z
DISTRICT DE LEVET,01625002900796,FR33016250029,CHAMPS DES SABLES,,18340,LEVET,France,52.21Z
DISTRICT DE MONTARGIS,01625002901000,FR33016250029,LE TOURNEAU,GARE DE PEAGE,45700,PANNES,France,52.21Z
APRR,01625002901216,FR33016250029,11 PLACE DE L’EUROPE,,78140,VELIZY-VILLACOUBLAY,France,52.21Z
APRR,01625002901224,FR33016250029,RTE DE L'ECLUSE,,03290,DOMPIERRE-SUR-BESBRE,France,52.21Z
CHARMY - DOMAINE DE CHARMY - COMTE GAETAN DE CHARMY,01625008600077,FR10016250086,11 COUR AU MOTET,,21121,ETAULES,France,46.34Z
HAIER FRANCE,01625010200163,FR58016250102,53 BOULEVARD ORNANO,,93200,SAINT-DENIS,France,46.43Z
MAISON MILLIERE,01635031600028,FR00016350316,10 RUE DE LA CHOUETTE,10-12-14,21000,DIJON,France,56.10A
ETABLISSEMENTS GUERARD,01638003200058,FR05016380032,RUE AMPERE,ZONE INDUSTRIEL,76550,OFFRANVILLE,France,46.61Z
JULIEN MACK,01645029800019,FR22016450298,5 RUE JEAN MOULIN,ZONE INDUSTRIELLE,21160,COUCHEY,France,10.13A
BBV BETON DU BEC A VENT,01655086500105,FR53016550865,RUE DE CRAMONT,ZI DU BEC A VENT,21400,CHATILLON-SUR-SEINE,France,23.63Z
PACOTTE ET MIGNOTTE,01665011100103,FR01016650111,RUE METEORE,,25480,MISEREY-SALINES,France,43.32A
A SUPPRIMER : ROTISSERIE DU CHAMBERTIN,01665046700018,FR02016650467,RTE DES GRANDS CRUS,,21220,GEVREY-CHAMBERTIN,France,68.20B
FAREVA SPPH,01665059000017,FR80016650590,7 IMPASSE DES BOUSSENOTS,,21800,QUETIGNY,France,20.42Z
DEMAVIC DEPART DIET,01675050700051,FR04016750507,6 RUE DU PROFESSEUR LOUIS NEEL,,21600,LONGVIC,France,46.46Z
DEXIS,01675055600041,FR54016750556,44 RUE DE LONGVIC,,21300,CHENOVE,France,46.69B
CODIMEC,01675055600082,FR54016750556,RUE DES MAURAPANS,ZAC DE VALENTIN,25870,CHATILLON-LE-DUC,France,46.69B
BRIE FGI,01675055600116,FR54016750556,RUE SAINT-SAUVEUR DES VIGNES,ZI DES VAUGUILLETTES,89100,SENS,France,46.69B
ACM,01675055600140,FR54016750556,8 RUE DES TAILLES,,25770,FRANOIS,France,46.69B
CTB CHOFFEL ELECTRONIQUE,01675055600215,FR54016750556,29 RUE DU RANG DE VESEAUX,,88200,SAINT-NABORD,France,46.69B
ETS J. VIRLY,01675069700126,FR89016750697,RUE DE MADRID,ZA DU MACHERIN,89470,MONETEAU,France,46.69B
ACYCLEA - AUTO CASSE,01675077000063,FR17016750770,3 CLAIRVOT,,21850,SAINT-APOLLINAIRE,France,38.32Z
AGENCE REPUBLIQUE IMMOBILIER,01675092900065,FR09016750929,19 RUE FAGON,,21700,NUITS-SAINT-GEORGES,France,68.31Z
AGENCE REPUBLIQUE,01675092900073,FR09016750929,6 PL DES TROIS SAFFRES,,21121,FONTAINE-LES-DIJON,France,68.31Z
AGENCE REPUBLIQUE IMMOBILIER,01675092900081,FR09016750929,1 RUE DU DAUPHINE,IMMEUBLE LE STRATEGE,21121,FONTAINE-LES-DIJON,France,68.31Z
CINEMA OLYMPIA,01695041200029,FR65016950412,16 AVENUE MARECHAL FOCH,,21000,DIJON,France,59.14Z
RELIURE RETIERE BOCCARD,01695082600046,FR46016950826,9 RUE DES ECOLES,,21160,MARSANNAY-LA-COTE,France,18.14Z
ORALIA SICOV & OPTIM,01695093300065,FR76016950933,3 RUE DE LA POSTE,3-5,21000,DIJON,France,68.31Z
LIRELEC,01705066700298,FR33017050667,3 RUE DE CLUJ,,21000,DIJON,France,42.21Z
BEUVAIN MONTAGE,01708006000027,FR39017080060,RUE DES PIERRES,ZA LES CHAMPS DOLENTS,60000,BEAUVAIS,France,43.99B
PAPETERIES DE DIJON,01715028500066,FR30017150285,100 TERRASSE BOIELDIEU,100-101,92800,PUTEAUX,France,17.21B
FAGOT IMMOBILIER,01715094700046,FR76017150947,4 RUE DE LA POSTE,,25370,LES HOPITAUX-NEUFS,France,68.31Z
ETC,01715120000544,FR59017151200,17 RUE JULES RENARD,,58500,CLAMECY,France,69.20Z
ECOFIS,01715120000593,FR59017151200,2 RUE DES GRANDS JARDINS,,58000,NEVERS,France,69.20Z
FIDECA,01715120000601,FR59017151200,RUE DE LA MAISON GARNIER,PARC D ENTREPRISES DES ORMEAUX,77130,MONTEREAU-FAULT-YONNE,France,69.20Z
LE CENTRE COMPTABLE,01715120000668,FR59017151200,25 RUE DU DOCTEUR ROBERT,,21400,CHATILLON-SUR-SEINE,France,69.20Z
COMPTA SERVICE,01715120000676,FR59017151200,1 PLACE DU CHAMP DE FOIRE,,58300,DECIZE,France,69.20Z
AU ROI DES PATES,01724351000025,FR54017243510,16 RUE QUENTIN,,21000,DIJON,France,68.20B
ROI DES PATES,01724351000066,FR54017243510,AVENUE DU 14 JUILLET,,21300,CHENOVE,France,68.20B
POMPES FUNEBRES MEURDRA,01735014100036,FR41017350141,18 RUE DE LA REDOUTE,,21850,SAINT-APOLLINAIRE,France,96.03Z
AUDIT GESTION CONSEIL,01735137000113,FR42017351370,8 RUE JACQUES GERMAIN,,21420,SAVIGNY-LES-BEAUNE,France,69.20Z
CTIM CROIX DE MARBRE,01978753000013,FR57019787530,27 RUE DE FRANCE,,06000,NICE,France,81.10Z
MAINTENANCE INDUSTRIELLE MAHORAISE,02403651900031,FR60024036519,LONGONI,LONGONI KOUNGOU,97600,KOUNGOU,France,28.11Z
TAXI BARAKA,02403660000021,FR12024036600,17 RUE WEMANI,VAHIBE,97600,MAMOUDZOU,France,49.32Z
SUD CONSTRUCTION,02403701200036,FR84024037012,6 RUE IBRAHIM OILI,MZOUAZIA,97620,BOUENI,France,43.99C
